,Radius,Density,Uncertainty
80,0.8014490393535363,45762361.15068547,17296546.715976764
81,0.8088684269075834,16273505.08904294,6150806.774993092
82,0.8163476186711192,42809555.65576331,16180491.143189764
83,0.8210314641762775,28329535.12264932,10707557.813228544
84,0.825550057356331,39649278.73058079,14986018.74059993
85,0.8344882301636638,11777301.996371653,4451401.7425291315
86,0.8441009399191449,32018534.75733799,12101868.61608488
87,0.8516360466872248,14024724.574825006,5300847.633023292
88,0.8592749330365194,29685717.33492436,11220146.508395566
89,0.8703945143897006,9033075.913537959,3414181.7773127183
90,0.8830533670578626,17769983.988589182,6716422.633629516
91,0.8925086535827881,13813350.219859075,5220955.636340928
92,0.9031372965305877,13268316.78666119,5014952.36198988
93,0.9121712174701272,18962024.984597266,7166971.780491105
94,0.9192891236886103,19934207.620748702,7534422.2782328045
95,0.9274403403379379,14317609.093397856,5411547.57573824
96,0.9383895648296136,10553065.642601253,3988683.8942375644
97,0.9466453096267846,32109254.347021393,12136157.397991179
98,0.953919322961855,12118831.02851248,4580487.58317959
99,0.9624692373845616,19020490.403041504,7189069.631562646
100,0.9679780341688204,27910166.87956932,10549051.516236005
101,0.9755018954106915,11484335.297088668,4340670.738425385
102,0.9875521111131618,8817092.228998683,3332547.6178072398
103,0.9990813383504884,10628742.427754091,4017287.0304568894
104,1.0074849021193786,15790244.07647719,5968151.281052773
105,1.0185068921010412,7550444.732999863,2853799.8644935885
106,1.027212872279149,42204874.046866626,15951942.977544755
107,1.033457958323587,9639367.798645554,3643338.5701571815
108,1.0429327554425742,11764265.955155121,4446474.582080598
109,1.0510354497390009,14701504.8173252,5556646.520722935
110,1.0616967113853826,7255688.667636835,2742392.5435823784
111,1.0740395286865982,9571167.661960844,3617561.3414359875
112,1.0865210653645794,6794989.074952165,2568264.464817751
113,1.1009279353745798,6665827.731478971,2519446.065698742
114,1.1137153216464486,7250351.263634609,2740375.1944914395
115,1.1230484709299993,10927178.6251783,4130085.310543208
116,1.1372841122623862,4264984.043261397,1612012.4463040568
117,1.1561343585648443,5203235.824275562,1966638.2862650447
118,1.1702687394772093,7305213.3981256895,2761111.132242522
119,1.1804155613200713,9566488.576294031,3615792.8132877657
120,1.192162687163489,5516329.506433818,2084976.5748445082
