Halo Number,DataPoints,Virial Radius,NFW Scale Density,NFW Scale Radius,NFW Scale Density Uncertainty,NFW Scale Radius Uncertainty,NFW ChiSquare,NFW P-Value,Einasto Scale Density,Einasto Scale Radius,Einasto Scale Density Uncertainty,Einasto Scale Radius Uncertainty,Einasto ChiSquare,Einasto P-Value
93,51,21.738563920956032,108580326.13471527,2.0345945518163115,27811875.252578534,0.20923017697800989,7052.921201694819,0.0,84974.10928189835,20.50083027399149,24002.76686853519,2.312521463209112,8621.341945089232,0.0
94,51,13.524144007987736,339565931.2389416,0.8029200231297405,132373494.28616112,0.12169767200557506,4287.31171864165,0.0,303854.64104619634,7.805587848900093,104801.84569723633,1.0174798082963663,4199.867087600942,0.0
95,51,20.560976389113293,124139182.25223577,1.9500828612635004,28903999.10470156,0.1824990674160455,5845.196772727583,0.0,95374.70226559494,19.797202091857645,25031.561141563026,2.0798792651195708,7403.568571246599,0.0
96,51,24.9260964690175,119346346.27610804,1.8487684577540686,15747089.207606183,0.0965264639456689,1377.9890119232068,4.798411799280346e-260,86209.99060324603,19.33086744351908,14192.44283866193,1.248168954088091,2267.077420299999,0.0
99,51,31.005931045636988,52401787.67192848,2.4746864107015587,8364056.703878739,0.1574886151269394,1307.9605351695054,2.0180386807017023e-251,30496.636741390852,28.335841562266662,5272.195472172794,1.962365773269907,1483.8335415187305,1.1083148300999266e-288
102,51,16.62461840711454,265317499.2619088,1.3596224465029707,75470507.14305492,0.15359112676737458,6869.027503960067,0.0,219643.87598894714,13.463096923893811,62391.39072927191,1.4999678809669112,7534.512790495586,0.0
103,51,21.07345506253825,260680109.0496498,1.2855716688695173,80747563.87522617,0.1552899753319738,6893.773427207508,0.0,218508.79776624314,12.763687525507606,62780.16289940002,1.3973797913369397,7093.834294104258,0.0
104,51,25.029817719742,45041861.443875425,2.813368715616571,5586239.370081519,0.1426546833213189,1290.8869937720087,1.5681050775749672e-239,31344.16901695913,29.917034358733456,4857.49555589294,1.9094138933395277,1897.4114263470567,0.0
105,51,17.599971080154933,289418144.685428,1.2877219468066532,85484547.69229399,0.1499023707817165,6931.20930218512,0.0,240722.41226056806,12.768954984716453,68259.16172123647,1.4034735764540398,7324.841262407221,0.0
106,51,25.72707254667204,94665622.44714685,1.9868472390792045,14726888.471492091,0.12261013305620613,1812.247927008638,0.0,71847.33105784073,20.38243487872986,12733.797904881858,1.4193160403921816,2513.7453497826878,0.0
107,51,23.84864390208373,186725959.86724737,1.4875782722149302,47832031.9388837,0.14890343592481964,4953.671729086816,0.0,151859.93753688337,14.919120831438661,37269.21036175961,1.4011517888151293,5340.752852641876,0.0
109,51,10.159729219100376,659618489.2310152,0.9103700509689785,191391076.62105846,0.10567102742472395,5299.955824248245,0.0,529462.9222042608,9.088839001120533,161938.30142743926,1.1023419740887987,6102.711692979559,0.0
110,51,24.038842495138468,37456451.3406282,2.8429135439926374,7339251.644329262,0.22847554572078482,3040.2575173705036,0.0,27818.993189512268,29.264253925061432,6822.529430058118,2.9586572616508375,4331.090479814553,0.0
111,51,23.87288238541511,66391481.579877995,2.339803441831976,12532807.801350407,0.17825964683004816,2938.6364873207685,0.0,52547.4036073571,23.60490522032614,10491.433234800417,1.894853643661874,3405.0351527951184,0.0
113,51,16.510727675471607,292550163.10350955,1.0818112740187487,77749545.55764791,0.11255990068396021,3565.871812945303,0.0,238380.16553297514,10.832964807134523,60545.93733302708,1.0563405403071082,3805.317913279995,0.0
114,51,18.4363350602536,581215898.3766621,0.8814059870651377,237747521.03989357,0.13849600993944158,11069.080530856987,0.0,521842.1648883798,8.682805531258149,170230.32837183887,1.0481471121899344,9835.636687256814,0.0
118,51,11.679208626331205,307671959.0724204,1.1350231159299256,72331098.63442901,0.10746966701804522,2805.8239652900916,0.0,237221.7287830214,11.517097159113161,61890.18632568454,1.2064451079604839,3468.9235182118923,0.0
119,50,24.839348034224983,30857149.648264132,3.066229234087163,2336475.0746689034,0.09575485273150781,392.56490415364306,1.5832787099044318e-56,21252.990326405525,32.77034916060932,2591.0933246451345,1.665994695637175,910.5159373918946,5.4492451254399895e-161
123,51,24.699800819633037,28117959.838131327,3.1112330700659108,4566535.213692859,0.20848748579720808,1892.5941641040513,0.0,20589.497211965543,32.30497563607867,4278.33256042691,2.7915663775630337,2797.818166531648,0.0
130,51,21.41087256902806,192566977.25058466,1.4203212345687055,35098442.90474667,0.10156447542726117,2086.9281393457577,0.0,144233.3037135634,14.726203148403968,24682.339878059574,0.973784866911087,2173.818318461914,0.0
131,51,15.88393714776765,152098124.98781386,1.5498837751221335,36670125.80240693,0.15051449454446353,3776.8787745770574,0.0,118604.65135955121,15.644455914288868,31851.930384494564,1.6865309229589962,4675.702852130345,0.0
132,51,24.720903619507425,26578266.51907915,2.946316219149902,2223345.8353193393,0.10132185978038148,349.4728866796944,3.547013220040028e-49,19079.878893614332,30.975051766818858,2209.814788065891,1.4865724632308037,616.9261652277822,4.281738080540863e-102
134,51,16.963518265155447,344181800.5413433,1.0667646371137958,111999787.09662768,0.13540424737077095,6728.021346628837,0.0,294316.4857682375,10.513877686759473,87614.85289568189,1.1919143235773082,6793.2954942072965,0.0
136,51,22.0150045135476,69309938.54505917,2.0325189248781235,9957293.926600916,0.11743228090608808,1082.1705698207236,1.2844509740615516e-196,52052.59666422494,20.969653985238445,8068.904254219755,1.3039617755798705,1308.5377524162561,5.82558002449716e-244
137,51,23.585881236496068,60831324.86501266,1.897321004108862,3568316.9431423773,0.044351707440286374,113.9707385800831,8.5584942881341e-09,40520.98020262168,20.54840400695295,3881.4394153917315,0.7833096393645372,308.78121925342913,8.961969955411769e-43
139,51,23.907738880187928,147585467.78154308,1.3677769134991855,17381594.41850596,0.06273430173586923,556.8658850674075,1.5251544131458109e-90,99872.50758128583,14.719673353021296,15108.61465330493,0.853708318530264,1027.4402565840041,2.73575942230205e-187
140,51,15.64664127767904,124511470.20441504,1.5224023792717547,34208981.07894409,0.16843228191150503,3965.734552368063,0.0,99223.97918994354,15.223235885501014,29674.90460224179,1.8230999201945657,4713.235580894595,0.0
141,51,12.662739043667296,306265753.2213199,0.8993897269911091,99440372.08370845,0.11482047352981574,3313.5772933826797,0.0,259095.98585184125,8.874974520999498,78545.64183779278,1.0376151897311015,3392.3993682965133,0.0
142,51,8.055604417449596,1730752343.3600452,0.4112537492663347,1194351620.9768443,0.1088920422154011,12062.614701279539,0.0,1828272.1739007095,3.8866114211920606,961138.4280982808,0.7505655933577001,10936.364748221848,0.0
143,51,23.211302580082236,110735926.48285028,1.7588880767642057,12158091.371126372,0.07652395108196777,705.4749821018584,2.6606110333842034e-118,79362.46633751594,18.525232895792207,9081.163405370722,0.833796828635075,846.3067668833742,4.143997872992933e-147
145,51,16.51376799326001,172363806.605203,1.3471227656962763,53135120.143363096,0.16500910712602096,5282.680539277835,0.0,142684.089989831,13.306065254010424,45117.135080845015,1.6495884791584445,5926.075741983785,0.0
149,51,13.881111467826097,307357901.6585184,0.9255327130595944,88316353.37634753,0.10427386225685786,2630.9642372797643,0.0,251939.7484161045,9.247833044849315,68464.45579810653,0.96637144879554,2757.416456156224,0.0
150,51,16.56169900111945,245140313.43076143,1.139662640483616,71881489.22475244,0.1312568218145751,4125.505323717352,0.0,205315.44047021444,11.285883468142263,57060.12144301717,1.208295833229926,4319.05933751436,0.0
151,51,15.305192850435688,388435141.9555816,0.9674868642766098,122524211.48761943,0.11918731861231929,4782.665975882825,0.0,325618.7810259387,9.64291740357404,88854.36132189879,1.0041907680106967,4526.2442845280775,0.0
153,50,21.55409160324963,81458701.81266315,1.8900778673402483,10179879.867930211,0.09459948347607465,808.0300299564849,7.124245691147435e-140,59562.58661239812,19.6953655863687,8695.035711664872,1.1479198095465095,1140.9353338460264,7.11876537325938e-209
154,51,15.916875492977582,76337968.24793006,1.7537100526513505,20936347.50428675,0.19576876515348324,3044.5137075817156,0.0,60725.03602429897,17.61476441853372,17567.601873606454,2.072034833058225,3401.5145356957696,0.0
156,51,14.769031328795885,181746828.12233284,1.0456113744582973,56973489.02943625,0.12899053882495481,2591.6866197506733,0.0,151493.84266793003,10.339064925541964,47321.08702431546,1.24791737303925,2844.711955269187,0.0
159,51,20.154566300729392,114701075.76784843,1.546136348228208,14751364.891500406,0.07885730864720157,732.6229140575674,1.9666131769606773e-124,84517.5670088592,16.06201255465069,12642.204247931639,0.9445450710883482,1068.5588339392652,8.785406386259387e-194
162,51,16.127076929753976,600961316.3550352,0.7367614293416802,233846735.6247586,0.10994502052160211,5866.938398790352,0.0,527435.2434220768,7.320818131463245,163355.78845855253,0.8377495167623041,5189.146015391571,0.0
163,51,17.29344408364635,260952691.41854036,0.9655490786451499,78464740.34130785,0.11269374610728271,2832.9335210490394,0.0,215664.2160374171,9.654991682740288,60138.43274575968,1.0180060038161776,2932.779657875799,0.0
164,51,21.239613609302708,61609355.670619845,2.0065698378570804,6413763.882813058,0.08416268628662445,482.4043750210315,4.0574812660831347e-75,44064.755968840436,21.060384159487484,6419.836915122723,1.2370823647698084,928.3845616231475,5.202663078682136e-166
168,51,15.910972647821255,218556281.99188703,1.254277452552605,64355729.375166,0.1463845414156911,4734.318233403601,0.0,180986.23697784232,12.431559792742853,52430.74055937756,1.4073445012390864,5111.097586584965,0.0
